Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
3.89975   ,-4.18636e+01,-4.32132e+01,-4.40950e+01,-4.29776e+01,-3.99391e+01,-5.40128e+01,-5.81564e+01,-5.52832e+01,,         0.32833,-2.70000e+01,
3.98291   ,-4.16053e+01,-4.30955e+01,-4.37091e+01,-4.54306e+01,-3.93942e+01,-5.45422e+01,-5.76178e+01,-5.73018e+01,,         0.33000,-2.70000e+01,
4.06607   ,-3.93176e+01,-4.32348e+01,-4.10489e+01,-4.08324e+01,-3.95698e+01,-5.45613e+01,-5.58617e+01,-5.88618e+01,,         0.33167,-2.70000e+01,
4.14923   ,-4.53523e+01,-4.71658e+01,-4.68477e+01,-4.65419e+01,-4.38170e+01,-5.56379e+01,-5.51974e+01,-6.28095e+01,,         0.33333,-2.70000e+01,
4.23239   ,-4.56876e+01,-4.59040e+01,-4.53574e+01,-4.87293e+01,-4.30674e+01,-5.45144e+01,-5.61071e+01,-6.14420e+01,,         0.33500,-2.70000e+01,
4.31555   ,-4.45553e+01,-4.13927e+01,-4.11369e+01,-4.40304e+01,-4.26823e+01,-5.78493e+01,-5.55693e+01,-6.22609e+01,,         0.33667,-2.70000e+01,
4.39871   ,-4.20076e+01,-4.58327e+01,-4.26093e+01,-4.34618e+01,-3.68139e+01,-5.59676e+01,-5.77843e+01,-6.35358e+01,,         0.33833,-2.80000e+01,
4.48187   ,-4.16681e+01,-4.12182e+01,-4.52457e+01,-4.47613e+01,-4.16798e+01,-5.73701e+01,-5.64317e+01,-6.57571e+01,,         0.34000,-2.80000e+01,
4.56503   ,-4.23753e+01,-4.45267e+01,-4.61184e+01,-4.33805e+01,-4.02731e+01,-5.68065e+01,-5.60932e+01,-6.20256e+01,,         0.34167,-2.80000e+01,
4.64819   ,-4.72859e+01,-4.84471e+01,-4.91627e+01,-4.65319e+01,-4.56572e+01,-5.61926e+01,-5.62402e+01,-5.67483e+01,,         0.34333,-2.80000e+01,
4.73135   ,-4.19231e+01,-4.47442e+01,-4.25908e+01,-4.45801e+01,-3.99843e+01,-5.31738e+01,-5.63089e+01,-5.66890e+01,,         0.34500,-2.90000e+01,
