Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
1.44980   ,-5.28079e+01,-5.06997e+01,-4.87269e+01,-5.05462e+01,-5.99383e+01,-4.71393e+01,-5.15869e+01,-5.81115e+01,,         0.28333,3.00000e+00,
1.48296   ,-5.36096e+01,-4.75356e+01,-4.99985e+01,-5.03003e+01,-5.93807e+01,-4.71147e+01,-5.13855e+01,-5.65525e+01,,         0.28500,4.00000e+00,
1.51612   ,-5.33648e+01,-5.04726e+01,-4.88967e+01,-5.01194e+01,-6.01686e+01,-4.59300e+01,-5.02339e+01,-6.19449e+01,,         0.28667,6.00000e+00,
1.54927   ,-5.20157e+01,-5.10607e+01,-5.06311e+01,-5.42650e+01,-6.00551e+01,-4.57892e+01,-5.20320e+01,-5.68606e+01,,         0.28833,7.00000e+00,
1.58243   ,-4.99116e+01,-5.04673e+01,-4.94947e+01,-5.09068e+01,-6.38393e+01,-4.63547e+01,-5.35696e+01,-5.58508e+01,,         0.29000,8.00000e+00,
1.61559   ,-4.89864e+01,-5.00827e+01,-5.17565e+01,-5.20145e+01,-5.68491e+01,-4.59955e+01,-5.33747e+01,-5.82696e+01,,         0.29167,9.00000e+00,
1.64875   ,-5.01374e+01,-5.04221e+01,-5.05025e+01,-5.11647e+01,-6.01748e+01,-4.65010e+01,-5.27817e+01,-5.37261e+01,,         0.29333,1.00000e+01,
1.68191   ,-5.37231e+01,-5.08640e+01,-4.96583e+01,-5.15894e+01,-6.43959e+01,-4.64846e+01,-5.23098e+01,-5.91590e+01,,         0.29500,1.00000e+01,
1.71507   ,-5.43426e+01,-4.98451e+01,-5.05927e+01,-5.08404e+01,-5.62570e+01,-4.66585e+01,-5.16142e+01,-5.30154e+01,,         0.29667,1.10000e+01,
1.74822   ,-4.87423e+01,-5.08333e+01,-4.84011e+01,-5.02406e+01,-5.80780e+01,-4.54241e+01,-5.07561e+01,-5.91651e+01,,         0.29833,1.20000e+01,
1.78138   ,-5.13289e+01,-4.99549e+01,-4.94387e+01,-5.05174e+01,-5.89363e+01,-4.55207e+01,-5.22919e+01,-5.84452e+01,,         0.30000,1.30000e+01,
1.81454   ,-5.08058e+01,-5.05899e+01,-5.33641e+01,-5.22440e+01,-6.16420e+01,-4.44531e+01,-5.49489e+01,-5.49773e+01,,         0.30167,1.30000e+01,
1.84770   ,-5.01700e+01,-5.15949e+01,-4.97615e+01,-5.13662e+01,-6.36077e+01,-4.25312e+01,-5.14006e+01,-5.60697e+01,,         0.30333,1.40000e+01,
1.88086   ,-5.20177e+01,-4.91615e+01,-5.32138e+01,-5.36148e+01,-5.69733e+01,-4.65408e+01,-5.11871e+01,-5.46594e+01,,         0.30500,1.40000e+01,
1.91402   ,-4.58979e+01,-4.87803e+01,-5.19868e+01,-5.17461e+01,-6.16155e+01,-4.61411e+01,-5.15148e+01,-5.84115e+01,,         0.30667,1.40000e+01,
