Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
3.34705   ,-4.99448e+01,-3.62001e+01,-5.24996e+01,-4.62443e+01,-4.51645e+01,-4.97373e+01,-4.80451e+01,-4.13329e+01,,         0.19833,-3.00000e+00,
3.39499   ,-4.84383e+01,-3.75943e+01,-5.15545e+01,-4.48517e+01,-4.56094e+01,-4.97665e+01,-4.72551e+01,-4.11958e+01,,         0.20000,-5.00000e+00,
3.44294   ,-4.93003e+01,-3.79914e+01,-5.20678e+01,-4.41034e+01,-4.50093e+01,-4.95596e+01,-4.73668e+01,-4.15233e+01,,         0.20167,-6.00000e+00,
3.49089   ,-4.87859e+01,-3.81978e+01,-5.32853e+01,-4.39821e+01,-4.50217e+01,-4.88946e+01,-4.76719e+01,-4.15176e+01,,         0.20333,-7.00000e+00,
3.53884   ,-5.01744e+01,-3.72634e+01,-5.13068e+01,-4.53869e+01,-4.42357e+01,-4.88206e+01,-4.65861e+01,-4.17389e+01,,         0.20500,-8.00000e+00,
3.58679   ,-5.08346e+01,-3.75021e+01,-5.12061e+01,-4.62086e+01,-4.45672e+01,-4.99101e+01,-4.78441e+01,-4.15384e+01,,         0.20667,-9.00000e+00,
3.63474   ,-5.24108e+01,-3.80435e+01,-5.27873e+01,-4.46909e+01,-4.47352e+01,-4.86291e+01,-4.80458e+01,-4.16451e+01,,         0.20833,-9.00000e+00,
3.68269   ,-5.01793e+01,-3.79635e+01,-5.24035e+01,-4.43883e+01,-4.51415e+01,-4.91863e+01,-4.72643e+01,-4.15659e+01,,         0.21000,-1.00000e+01,
3.73064   ,-5.02209e+01,-3.82416e+01,-5.35031e+01,-4.40662e+01,-4.48177e+01,-4.91933e+01,-4.62025e+01,-4.15475e+01,,         0.21167,-1.00000e+01,
3.77859   ,-5.06260e+01,-3.70548e+01,-5.25489e+01,-4.50502e+01,-4.48484e+01,-4.87183e+01,-4.77180e+01,-4.17328e+01,,         0.21333,-1.00000e+01,
3.82654   ,-5.04280e+01,-3.76057e+01,-5.04265e+01,-4.54701e+01,-4.36836e+01,-4.89036e+01,-4.91282e+01,-4.16280e+01,,         0.21500,-1.10000e+01,
3.87449   ,-4.98180e+01,-3.81480e+01,-5.19636e+01,-4.47217e+01,-4.53499e+01,-4.84046e+01,-4.82843e+01,-4.16974e+01,,         0.21667,-1.10000e+01,
3.92244   ,-4.95127e+01,-3.76747e+01,-5.35581e+01,-4.42427e+01,-4.49699e+01,-4.90500e+01,-4.66990e+01,-4.20684e+01,,         0.21833,-1.10000e+01,
3.97039   ,-5.04525e+01,-3.79206e+01,-5.23723e+01,-4.47892e+01,-4.47114e+01,-4.93744e+01,-4.67124e+01,-4.20043e+01,,         0.22000,-1.10000e+01,
4.01834   ,-5.01023e+01,-3.67712e+01,-5.18364e+01,-4.49416e+01,-4.52728e+01,-4.91707e+01,-4.72916e+01,-4.13749e+01,,         0.22167,-1.10000e+01,
4.06629   ,-5.12510e+01,-3.65459e+01,-5.12445e+01,-4.77032e+01,-4.54190e+01,-4.96839e+01,-5.02966e+01,-4.14897e+01,,         0.22333,-1.00000e+01,
4.11424   ,-5.08137e+01,-3.67875e+01,-5.18246e+01,-4.58941e+01,-4.64740e+01,-4.93507e+01,-4.67454e+01,-4.16364e+01,,         0.22500,-1.00000e+01,
4.16218   ,-5.05398e+01,-3.65437e+01,-5.36478e+01,-4.54039e+01,-4.67292e+01,-4.90926e+01,-4.79736e+01,-4.16948e+01,,         0.22667,-1.00000e+01,
4.21013   ,-5.06366e+01,-3.61596e+01,-5.21205e+01,-4.52536e+01,-4.65188e+01,-4.93767e+01,-4.75292e+01,-4.18174e+01,,         0.22833,-9.00000e+00,
4.25808   ,-5.12429e+01,-3.51167e+01,-5.30346e+01,-4.83572e+01,-4.71392e+01,-4.85987e+01,-4.92301e+01,-4.19867e+01,,         0.23000,-7.00000e+00,
4.30603   ,-5.04653e+01,-3.52343e+01,-5.19483e+01,-5.03416e+01,-4.74750e+01,-4.95866e+01,-5.01797e+01,-4.18419e+01,,         0.23167,-4.00000e+00,
4.35398   ,-5.18063e+01,-3.55311e+01,-5.23003e+01,-4.96492e+01,-4.74253e+01,-4.99639e+01,-5.04055e+01,-4.18650e+01,,         0.23333,-1.00000e+00,
4.40193   ,-5.18538e+01,-3.52102e+01,-5.35881e+01,-4.89347e+01,-4.71940e+01,-5.00373e+01,-4.90133e+01,-4.22802e+01,,         0.23500,4.00000e+00,
4.44988   ,-5.17821e+01,-3.56457e+01,-5.52290e+01,-4.89565e+01,-4.78100e+01,-4.97961e+01,-4.97941e+01,-4.24016e+01,,         0.23667,9.00000e+00,
4.49783   ,-5.20538e+01,-3.56704e+01,-5.39337e+01,-4.86077e+01,-4.81637e+01,-4.99229e+01,-4.94858e+01,-4.32277e+01,,         0.23833,1.40000e+01,
