Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
4.26870   ,-5.08757e+01,-4.84769e+01,-4.97626e+01,-5.14907e+01,-5.32471e+01,-6.18786e+01,-5.15468e+01,-5.99181e+01,,         0.34500,1.50000e+01,
4.32731   ,-5.33965e+01,-5.22042e+01,-5.32132e+01,-5.32969e+01,-5.16783e+01,-6.11430e+01,-5.82311e+01,-5.91922e+01,,         0.34667,1.20000e+01,
4.38592   ,-5.32834e+01,-5.05686e+01,-5.50979e+01,-5.32318e+01,-4.99117e+01,-6.26549e+01,-5.60382e+01,-6.13248e+01,,         0.34833,1.00000e+01,
4.44453   ,-4.84278e+01,-5.01811e+01,-4.46868e+01,-5.21026e+01,-5.53427e+01,-6.83612e+01,-5.42018e+01,-6.32085e+01,,         0.35000,8.00000e+00,
4.50314   ,-5.78290e+01,-5.54644e+01,-5.20052e+01,-4.96856e+01,-6.13078e+01,-6.41079e+01,-5.52850e+01,-6.15140e+01,,         0.35167,6.00000e+00,
4.56175   ,-5.92900e+01,-5.30199e+01,-5.46038e+01,-5.70652e+01,-5.97706e+01,-6.56469e+01,-5.25808e+01,-6.32766e+01,,         0.35333,5.00000e+00,
4.62036   ,-5.61558e+01,-5.59135e+01,-5.40919e+01,-4.97753e+01,-6.30239e+01,-6.45425e+01,-5.39950e+01,-6.30028e+01,,         0.35500,4.00000e+00,
4.67897   ,-4.86593e+01,-4.45379e+01,-5.14215e+01,-4.82975e+01,-5.46485e+01,-6.58694e+01,-5.41579e+01,-5.84091e+01,,         0.35667,3.00000e+00,
4.73758   ,-4.71412e+01,-5.78179e+01,-4.76838e+01,-5.01060e+01,-5.33902e+01,-6.49505e+01,-5.19940e+01,-6.06239e+01,,         0.35833,3.00000e+00,
4.79619   ,-4.69521e+01,-4.71469e+01,-4.79020e+01,-4.96384e+01,-5.45984e+01,-6.32541e+01,-4.79003e+01,-5.70225e+01,,         0.36000,3.00000e+00,
4.85480   ,-4.87739e+01,-5.67351e+01,-4.91149e+01,-4.50308e+01,-5.15093e+01,-6.27476e+01,-4.76406e+01,-5.65208e+01,,         0.36167,3.00000e+00,
4.91341   ,-5.17448e+01,-4.71980e+01,-5.44494e+01,-4.76831e+01,-5.21943e+01,-6.79088e+01,-4.44317e+01,-5.54351e+01,,         0.36333,3.00000e+00,
4.97202   ,-4.76092e+01,-4.73480e+01,-5.08220e+01,-4.43750e+01,-5.40720e+01,-6.37474e+01,-4.63571e+01,-5.53087e+01,,         0.36500,3.00000e+00,
5.03063   ,-4.71265e+01,-4.96804e+01,-4.90561e+01,-4.27150e+01,-4.51491e+01,-6.82530e+01,-4.58689e+01,-5.58458e+01,,         0.36667,3.00000e+00,
5.08924   ,-4.55515e+01,-4.34984e+01,-4.94970e+01,-5.18791e+01,-4.81432e+01,-6.30815e+01,-4.79290e+01,-6.19121e+01,,         0.36833,3.00000e+00,
5.14785   ,-4.56014e+01,-4.81093e+01,-4.36927e+01,-4.84680e+01,-5.37788e+01,-6.44877e+01,-4.74653e+01,-5.73086e+01,,         0.37000,3.00000e+00,
5.20646   ,-3.95151e+01,-4.03533e+01,-4.40402e+01,-4.28563e+01,-4.34699e+01,-6.41812e+01,-4.61402e+01,-5.70983e+01,,         0.37167,2.00000e+00,
5.26508   ,-5.07657e+01,-5.06304e+01,-4.84497e+01,-4.77025e+01,-5.19416e+01,-6.62350e+01,-4.61020e+01,-5.66131e+01,,         0.37333,1.00000e+00,
